rank,title,releasedOn,studio,genre,rating,revenue,tickets
243,The Imposter,7/13/12,Indomina Releasing,Documentary,R,901954,113310
244,Real Steel,10/7/11,Walt Disney,Action,PG-13,810351,101802
245,Darling Companion,4/20/12,Sony Pictures Classics,Comedy,PG-13,793352,99667
246,Thin Ice,2/17/12,ATO Pictures,Black Comedy,R,789752,99215
247,Coriolanus,1/20/12,Weinstein Co.,Drama,R,749641,94176
248,Cosmopolis,8/17/12,Entertainment One,Thriller/Suspense,R,743636,93421
249,Immortals,11/11/11,Relativity,Action,R,741478,93150
250,Unconditional,9/21/12,Veracity Moving Pictures,Drama,PG-13,741381,93138
251,Deep Sea 3-D,3/3/06,Warner Bros.,Documentary,G,726222,91233
252,Son of Sardaar,11/13/12,Eros Entertainment,,Not Rated,713754,89667
253,Rust & Bone,11/23/12,Sony Pictures Classics,Drama,R,702117,88205
254,The Paperboy,10/5/12,Millennium Entertainment,Thriller/Suspense,R,677200,85075
255,The Impossible,12/21/12,Lionsgate,Drama,PG-13,657029,82541
256,Pariah,12/28/11,Focus Features,Drama,R,646113,81169
257,A Royal Affair,11/9/12,Magnolia Pictures,Drama,R,645501,81093
258,2 Days in New York,8/10/12,Magnolia Pictures,Romantic Comedy,R,633210,79548
259,Chasing Ice,11/16/12,National Geographic Entertainment,Documentary,PG-13,612089,76895
260,Blue Like Jazz,4/13/12,Roadside Attractions,Comedy,PG-13,595018,74751
261,Midnight's Children,11/2/12,Mongrel Media,Drama,Not Rated,594555,74692
262,W.E.,12/9/11,Weinstein Co.,Drama,R,582075,73125
263,Undefeated,2/17/12,Weinstein Co.,Documentary,PG-13,561054,70484
264,J. Edgar,11/9/11,Warner Bros.,Drama,R,554198,69622
265,"Peace, Love and Misunderstanding",6/8/12,IFC Films,Comedy,R,542762,68186
266,Holy Motors,10/17/12,Indomina Releasing,Drama,Not Rated,535204,67236
267,The Thieves,10/12/12,Well Go USA,Action,Not Rated,532699,66921
268,Where Do We Go Now,5/11/12,Sony Pictures Classics,Drama,PG-13,531813,66810
269,Shut Up and Play the Hits,7/18/12,Oscilloscope Pictures,Documentary,Not Rated,510334,64112
270,Moneyball,9/23/11,Sony Pictures,Drama,PG-13,505639,63522
271,Ai Weiwei: Never Sorry,7/27/12,IFC Films,Documentary,R,489074,61441
272,The Flat,10/19/12,IFC Films,Documentary,Not Rated,460507,57852
273,Bachelorette,9/7/12,Weinstein Co.,Comedy,R,446770,56126
274,Melancholia,11/11/11,Magnolia Pictures,Thriller/Suspense,R,442090,55538
275,In Time,10/28/11,20th Century Fox,Thriller/Suspense,PG-13,430971,54142
